,topics,alpha,beta,c_v,c_npmi
43,15,0.01,0.26,0.32770164046440403,-0.30475572479665114
44,15,0.01,0.51,0.32123913230634765,-0.3104993900308004
45,15,0.01,0.76,0.3230685689725368,-0.3125126107012333
46,15,0.01,symmetric,0.3220725107366997,-0.3062939940620862
47,15,0.01,auto,0.317915159807131,-0.3054796745700248
48,15,0.26,0.01,0.3189300767168052,-0.31218350176097215
49,15,0.26,0.26,0.3231770028759725,-0.3074106231254922
50,15,0.26,0.51,0.3254382712237139,-0.3093983165551688
51,15,0.26,0.76,0.3196998718487945,-0.30803766865287857
52,15,0.26,symmetric,0.32893242429307545,-0.30683695724998683
53,15,0.26,auto,0.318383843348051,-0.30502383354524004
54,15,0.51,0.01,0.32322018382778345,-0.3135653204286036
55,15,0.51,0.26,0.32164524186905236,-0.30722502525739226
56,15,0.51,0.51,0.3162136193599802,-0.31009506083737487
57,15,0.51,0.76,0.31855375126743957,-0.3084140716103511
58,15,0.51,symmetric,0.3248211902126131,-0.30495850163280674
59,15,0.51,auto,0.3172681918282575,-0.3042164948436471
60,15,0.76,0.01,0.32792589405423533,-0.3119652117940834
61,15,0.76,0.26,0.3223911433571145,-0.3036299155979947
62,15,0.76,0.51,0.31791424287007375,-0.3078332734497947
63,15,0.76,0.76,0.33152299951122005,-0.30326200802711073
64,15,0.76,symmetric,0.32361819776286604,-0.3037947998836701
65,15,0.76,auto,0.3150513474085322,-0.30229499964469836
66,15,symmetric,0.01,0.32267704252985296,-0.3112544944705791
67,15,symmetric,0.26,0.32629436003523654,-0.30451989809223234
68,15,symmetric,0.51,0.323301287276375,-0.3100090681367899
69,15,symmetric,0.76,0.32042215519537365,-0.3097503055536601
70,15,symmetric,symmetric,0.32828526926962354,-0.30838619970747444
71,15,symmetric,auto,0.3235108754654514,-0.30562321764883416
72,15,asymmetric,0.01,0.3161586957959717,-0.31185910861670507
73,15,asymmetric,0.26,0.3269858318075316,-0.30628361394034515
74,15,asymmetric,0.51,0.31100237342628084,-0.3147026790322618
75,15,asymmetric,0.76,0.3189750721513181,-0.31409533408986656
76,15,asymmetric,symmetric,0.3166591699879513,-0.31018662636624533
77,15,asymmetric,auto,0.3122333131089358,-0.30674493167729955
78,15,auto,0.01,0.32267704252985296,-0.3112544944705791
79,15,auto,0.26,0.32629436003523654,-0.30451989809223234
80,15,auto,0.51,0.323301287276375,-0.3100090681367899
81,15,auto,0.76,0.32042215519537365,-0.3097503055536601
82,15,auto,symmetric,0.32828526926962354,-0.30838619970747444
83,15,auto,auto,0.3235108754654514,-0.30562321764883416
84,20,0.01,0.01,0.32587877802036613,-0.3039967231551969
85,20,0.01,0.26,0.32827822548592256,-0.3085155630847345
86,20,0.01,0.51,0.31544446443773017,-0.3064976132666458
87,20,0.01,0.76,0.3197520910298675,-0.3114087882600668
88,20,0.01,symmetric,0.3236940682251491,-0.30783020842442954
89,20,0.01,auto,0.32117839585602137,-0.3056016919507366
90,20,0.26,0.01,0.3275653676952443,-0.30682630351015117
91,20,0.26,0.26,0.32366830840365285,-0.311755911886582
92,20,0.26,0.51,0.3153239355474978,-0.30874734764022377
93,20,0.26,0.76,0.3193503961723407,-0.3107648863586824
94,20,0.26,symmetric,0.33010051137711505,-0.3044123764647608
95,20,0.26,auto,0.3226008281706711,-0.30269895591117235
96,20,0.51,0.01,0.32661718746060836,-0.3040129259998365
97,20,0.51,0.26,0.3253463908293888,-0.3136808882055926
98,20,0.51,0.51,0.32027786435833683,-0.31321675037663954
99,20,0.51,0.76,0.32662293657935987,-0.30718744333377523
100,20,0.51,symmetric,0.32497025066094,-0.3023467689407275
101,20,0.51,auto,0.3236802700372647,-0.2999600322827073
102,20,0.76,0.01,0.3224354330645102,-0.303465444336388
103,20,0.76,0.26,0.32108580236074485,-0.3127445688081621
104,20,0.76,0.51,0.3192505851744752,-0.3128584454572946
105,20,0.76,0.76,0.3257423933743403,-0.3070038304285906
106,20,0.76,symmetric,0.3277698355675053,-0.3021522108806277
107,20,0.76,auto,0.3264135288979516,-0.2995930337764738
108,20,symmetric,0.01,0.3264052039950157,-0.3046212361879308
109,20,symmetric,0.26,0.3261173468451022,-0.30860558652959463
110,20,symmetric,0.51,0.3173138771859718,-0.30605638562264603
111,20,symmetric,0.76,0.32051322520440095,-0.31112407664588154
112,20,symmetric,symmetric,0.3232079970112568,-0.30694420425902386
113,20,symmetric,auto,0.3222939856049135,-0.3059385712182171
114,20,asymmetric,0.01,0.32564356757393875,-0.3052152157972899
115,20,asymmetric,0.26,0.33607088021178677,-0.31335745911823254
116,20,asymmetric,0.51,0.3139872415333798,-0.3121959688584387
117,20,asymmetric,0.76,0.3132058628704514,-0.315890805149068
118,20,asymmetric,symmetric,0.32337286776955065,-0.3075419904714578
119,20,asymmetric,auto,0.31907493402967246,-0.3067146431356754
120,20,auto,0.01,0.3264052039950157,-0.30462123618793085
121,20,auto,0.26,0.3261173468451022,-0.30860558652959463
122,20,auto,0.51,0.3174934004573275,-0.30609468916110993
123,20,auto,0.76,0.32051322520440095,-0.31112407664588154
124,20,auto,symmetric,0.3244218491797456,-0.30642787270973065
125,20,auto,auto,0.32128896378637195,-0.3060459080087082
